sample_id,n_B_Q1,n_B_Q4,n_T,mean_LGALS9_B_Q1,mean_LGALS9_B_Q4,mean_HAVCR2_T,Q1_strength,Q4_strength
raw_all__GSM5837521_AB8317.txt.gz,8,8,105,0.0,0.25,0.0,0.0,0.0
raw_all__GSM5837522_AB8318.txt.gz,6,6,101,0.0,0.6666666666666666,0.0,0.0,0.0
raw_all__GSM5837529_AB8325.txt.gz,14,14,88,0.14285714285714285,0.14285714285714285,0.011363636363636364,0.0016233766233766233,0.0016233766233766233
raw_all__GSM5837530_AB8326.txt.gz,9,9,65,0.0,0.1111111111111111,0.0,0.0,0.0
raw_all__GSM5837531_AB8327.txt.gz,25,25,106,0.04,0.0,0.009433962264150943,0.0003773584905660377,0.0
raw_all__GSM5837532_AB8328.txt.gz,9,9,141,0.3333333333333333,0.4444444444444444,0.0070921985815602835,0.002364066193853428,0.003152088258471237
raw_all__GSM5837533_AB8329.txt.gz,7,7,121,0.14285714285714285,0.0,0.0,0.0,0.0
raw_all__GSM5837535_AB8334.txt.gz,27,27,113,0.0,0.037037037037037035,0.02654867256637168,0.0,0.000983284169124877
raw_all__GSM5837542_AB8452.txt.gz,14,14,72,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0
raw_all__GSM5837551_AB8465.txt.gz,7,7,67,0.0,0.0,0.0,0.0,0.0
raw_all__GSM5837552_AB8466.txt.gz,12,12,71,0.0,0.0,0.0,0.0,0.0
raw_all__GSM5837553_AB8467.txt.gz,8,8,59,0.25,0.125,0.0,0.0,0.0
raw_all__GSM5837556_AB8470.txt.gz,9,9,85,0.0,0.1111111111111111,0.0,0.0,0.0
raw_all__GSM5837557_AB8471.txt.gz,5,5,59,0.0,0.0,0.01694915254237288,0.0,0.0
raw_all__GSM5837562_AB8476.txt.gz,8,8,62,0.0,0.25,0.0,0.0,0.0
raw_all__GSM5837564_AB8478.txt.gz,6,6,69,0.16666666666666666,0.0,0.0,0.0,0.0
raw_all__GSM5837565_AB8479.txt.gz,9,9,85,0.1111111111111111,0.0,0.0,0.0,0.0
raw_all__GSM5837571_AB8485.txt.gz,9,9,126,0.1111111111111111,0.0,0.015873015873015872,0.001763668430335097,0.0
